"Month","PersonalCrime","PropertyCrime","AlcoholRelated"
99-01,6467,10958,951
99-02,5851,9856,822
99-03,6067,10649,877
99-04,5275,10001,753
99-05,5528,10534,758
99-06,4954,9618,619
99-07,5085,10327,750
99-08,5455,10258,710
99-09,5463,10321,729
99-10,5723,11106,783
99-11,5839,10690,722
99-12,6219,10962,857
00-01,6433,11258,875
00-02,5962,10340,720
00-03,6653,11204,756
00-04,5869,10901,745
00-05,5622,11308,576
00-06,5799,11112,628
00-07,5901,11490,709
00-08,5841,11231,671
00-09,5640,10947,786
00-10,6137,11881,765
00-11,6383,11642,801
00-12,7062,10843,983
01-01,7370,12585,908
01-02,7284,11093,810
01-03,7368,11468,897
01-04,6344,10700,773
01-05,6154,11841,626
01-06,6345,11124,824
01-07,6034,11521,721
01-08,6281,11165,722
01-09,6614,10120,830
01-10,7090,10612,832
01-11,6852,10615,842
01-12,7378,10261,1044
02-01,7361,10199,970
02-02,6508,9041,846
02-03,7176,10335,1096
02-04,6388,9754,1008
02-05,6367,9487,910
02-06,6033,8881,922
02-07,5956,9524,994
02-08,6425,8910,980
02-09,6739,8916,1019
02-10,6964,9034,1136
02-11,7486,8658,1164
02-12,7480,8382,1357
03-01,7440,8369,1240
03-02,7194,7653,1111
03-03,7548,8585,1253
03-04,6355,7964,1089
03-05,6625,8580,966
03-06,6418,7994,969
03-07,6059,8266,998
03-08,6046,7758,995
03-09,6467,7845,1053
03-10,6412,8127,1147
03-11,6796,7621,1250
03-12,7219,7486,1479
04-01,6869,8014,1297
04-02,6722,7591,1283
04-03,6890,8553,1173
04-04,5980,7638,1137
04-05,6000,7503,1056
04-06,5826,6712,975
04-07,5927,6652,1120
04-08,6093,7086,1172
04-09,5938,6585,1193
04-10,6501,6918,1416
04-11,6675,7259,1367
04-12,7093,7221,1634
05-01,6947,7112,1666
05-02,6273,6382,1286
05-03,7081,7042,1552
05-04,6222,6559,1440
05-05,6067,6731,1270
05-06,5857,6192,1263
05-07,6007,6456,1395
05-08,6101,6062,1187
05-09,6208,6090,1331
05-10,6653,6495,1468
05-11,6895,6347,1502
05-12,7406,6362,1706
06-01,7076,6949,1592
06-02,6772,6098,1416
06-03,7271,6796,1630
06-04,6073,6340,1500
06-05,5884,6399,1194
06-06,5801,6495,1205
06-07,6057,6112,1412
06-08,6092,5838,1256
06-09,6224,5962,1395
06-10,6581,6185,1384
06-11,6812,6164,1498
06-12,7299,5844,1846
07-01,7014,6071,1689
07-02,6652,5707,1466
07-03,7802,6561,1786
07-04,6661,6223,1666
07-05,6573,6770,1398
07-06,5798,6146,1414
07-07,6084,6069,1422
07-08,6256,5841,1459
07-09,6429,5682,1602
07-10,6465,6290,1520
07-11,6702,6154,1532
07-12,7043,5734,1900
08-01,7043,5826,1880
08-02,6655,5321,1570
08-03,7363,5997,1887
08-04,5866,5699,1398
08-05,6514,6014,1555
08-06,6001,5910,1474
08-07,5705,5616,1396
08-08,6275,5818,1464
08-09,6312,5574,1514
08-10,6872,5943,1675
08-11,7019,5788,1847
08-12,6805,5225,1822
09-01,7037,5712,1752
09-02,6396,5256,1433
09-03,7020,5440,1727
09-04,6044,5475,1552
09-05,6089,5503,1415
09-06,5686,5313,1314
09-07,5524,5076,1287
09-08,6279,5134,1433
09-09,6089,5146,1276
09-10,6394,5213,1614
09-11,6777,5156,1571
09-12,7004,5478,1794
10-01,7177,5517,1878
10-02,6353,4962,1390
10-03,6910,5596,1461
10-04,5679,5119,1418
10-05,5826,5353,1240
10-06,5574,5158,1113